Game,Category,Description,CPU,GPU,RAM,File Size
eFootball 2022,Sports / Simulation / Free to Play,The feverish football game with a worldwide total of 850 million downloads is waiting for you! Play eFootball™ with users around the world!,Intel Core i5-2300,AMD Radeon HD 7790,8 GB,50 GB
Mortal Kombat 11,Action / Fighting,Mortal Kombat is back and better than ever in the next evolution of the iconic franchise.,Intel Core i5-750,NVIDIA GeForce GTX 1050,8 GB,Unknown
Battlefield 2042,Action / Casual / Adventure,Battlefield™ 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise.,Intel Core i5-6600K,AMD Radeon RX 560,8 GB,100 GB
Dying Light,Action / RPG / FPS,"First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and face hordes of the infected.",AMD FX-8320,NVIDIA GeForce GTX 560,4 GB,40 GB
TEKKEN 7,Action / Sports / FPS,"Discover the epic conclusion of the long-time clan warfare between members of the Mishima family. Powered by Unreal Engine 4, the legendary fighting game franchise fights back with stunning story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals.",Intel Core i3-4160,NVIDIA GeForce GTX 660,6 GB,60 GB
Assassin's Creed Unity,Action / Adventure / FPS,"Assassin’s Creed® Unity tells the story of Arno, a young man who embarks upon an extraordinary journey to expose the true powers behind the French Revolution. In the brand new co-op mode, you and your friends will also be thrown in the middle of a ruthless struggle for the fate of a nation.",Intel Core i5-2500K,NVIDIA GeForce GTX 680,6 GB,50 GB
HITMAN,Action / FPS / Third-person shooter,"There is a world beyond ours. Beyond nations, justice, ethics. It never sleeps. It exists everywhere. And once you enter....there is no going back. Welcome to the World of Assassination. You are Agent 47, the world's ultimate assassin.",Intel Core i5-2500K,AMD Radeon HD 7870,8 GB,50 GB
Mortal Shell,Action / RPG,"Their Flesh is Your Armor. Mortal Shell is a deep action-RPG that tests your sanity and resilience in a shattered world. Survival demands superior awareness, precision, and instincts. Possess lost warriors, track down hidden sanctums of the devout, and face formidable foes.",Intel Core i5-4590,NVIDIA GeForce GTX 970,8 GB,12 GB
Rocket League,Action / Racing / Sports,"Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special “Mutators” that let you change the rules entirely, hockey and...",Intel Core 2 Duo E4600,ATI Radeon HD 4850,2 GB,7 GB
Project Zomboid,RPG / Indie / Simulation,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..",Intel Core 2 Quad Q9705,AMD Radeon HD 5450,8 GB,7 GB
Cities Skylines,Strategy / Simulation,Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.,Intel Core 2 Duo T7600,NVIDIA GeForce GTX 260,4 GB,4 GB
UNCHARTED™: Legacy of Thieves Collection,Unknown,Play as Nathan Drake and Chloe Frazer in their own standalone adventures as they confront their pasts and forge their own legacies. This game includes the critically acclaimed single-player stories from both UNCHARTED 4: A Thief’s End and UNCHARTED: The Lost Legacy.,Intel Core i5-4330M  / Ryzen 3 1200,NVIDIA GeForce GTX 960  / Radeon R9 290X,8 GB,126 GB
Arena Breakout: Infinite,Action / Strategy / RPG,"Arena Breakout: Infinite is an immersive tactical extraction FPS. Join a fight to shoot, loot, and raid your path to fortune. With realistic visuals and true-to-life audio, push through tough battles where the stakes are high and the rewards even higher.",Intel Core i5-7500  / Ryzen 5 1400,NVIDIA GeForce GTX 960  / Radeon RX 560,16 GB,60 GB
Detroit: Become Human,Unknown,"In the near future, Detroit is a city rejuvenated by androids. As this brave new world suddenly descends into chaos, you take on the role of Kara, a female android trying to find her role in an ever-changing society. Discover what it means to be human through the unblinking eyes of a machine.",Intel Core i7-3770,NVIDIA GeForce GTX 780 Ti,8 GB,Unknown
AI Limit,Action / RPG / Indie,"In the distant future when civilization is on the verge of extinction, people follow the legend of the Elysium in the last city, Havenswell. In this post-apocalyptic wasteland sci-fi ARPG, you will play as Arrisa, a Blader with immortality, and explore the city ruin to find the hope of a new life.",Intel Core i5-8400,Unknown,12 GB,30 GB
Watch Dogs 2,Action / Adventure / FPS,"Welcome to San Francisco. Play as Marcus, a brilliant young hacker, and join the most notorious hacker group, DedSec. Your objective: execute the biggest hack of history.",AMD FX-6300,NVIDIA GeForce GTX 660,6 GB,27 GB
Battlefield 5,Unknown,"The Battlefield series goes back to its roots in a never-before-seen portrayal of World War 2. Take on all-out multiplayer with your squad in modes like the vast Grand Operations and the cooperative Combined Arms, or witness human drama set against global combat in the single-player War Stories. As you fight in epic, unexpected locations across the globe, enjoy the richest and most immersive Battlefield yet.",Intel Core i5-6600K,NVIDIA GeForce GTX 1050,8 GB,50 GB
Arma Reforger,Action / Strategy / Simulation,"Experience authentic Cold War combat and join the struggle for the sprawling, mid-Atlantic island of Everon and its smaller, offshore territory, Arland – or take on the role of Game Master and create your very own scenarios for others to enjoy.",Intel Core i5-4460,Unknown,8 GB,20 GB
Dragon Age Veilguard,Action / Strategy / RPG,"Unite the Veilguard and defy the gods in Dragon Age™: The Veilguard, an immersive single-player RPG.",Intel Core i5-8400  / Ryzen 3 3300X,NVIDIA GeForce GTX 970  / Radeon R9 290X,16 GB,100 GB
Call of Duty Black Ops 3,Action / Adventure / FPS,Call of Duty®: Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.,Intel Core i3-530,AMD Radeon HD 6970,6 GB,100 GB
Assassin's Creed IV Black Flag,Action / Adventure / FPS,"The year is 1715. Pirates rule the Caribbean and have established their own lawless Republic where corruption, greediness and cruelty are commonplace.Among these outlaws is a brash young captain named Edward Kenway.",Intel Core 2 Quad Q8400,ATI Radeon HD 4870,2 GB,30 GB
Free Fire MAX,Unknown,"Free Fire MAX is designed exclusively to deliver premium gameplay experience in a Battle Royale. Enjoy a variety of exciting game modes with all Free Fire players via exclusive Firelink technology. Experience combat like never before with Ultra HD resolutions and breathtaking effects. Ambush, snipe, and survive; There is only one goal: to survive and be the last one standing.

Free Fire, Battle In Style!",Intel Core i7-2600,Intel UHD 630,8 GB,10 GB
Assassin's Creed Valhalla,Action / RPG / Adventure,"Assassin's Creed Valhalla puts you in the role of Eivor, a fearless viking warrior trying to find a new home in 9th century England, but to do so he must fight and conquer. Combine classic AC fighting mechanics with new viking weaponry and tactics. Conquer and fight in Ubisoft’s AC Valhalla.",Intel Core i5-4460,NVIDIA GeForce GTX 960,8 GB,50 GB
Assassin's Creed Odyssey,Action / RPG / Adventure,Assassin's Creed Odyssey is an action-adventure game where you choose the hero you want to become. Embark on an epic journey from outcast to living legend to uncover the secrets of your past and change the fate of Ancient Greece. Fight in visceral battles on both land and sea to become a true hero,Intel Core i5-2400,NVIDIA GeForce GTX 660,8 GB,46 GB
Valheim,Action / RPG / Indie,"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin’s patronage!",Intel Core 2 Duo Q6867,Unknown,4 GB,1 GB
Total War: Warhammer 3,Action / Strategy,"The cataclysmic conclusion to the Total War: WARHAMMER trilogy is here. Rally your forces and step into the Realm of Chaos, a dimension of mind-bending horror where the very fate of the world will be decided. Will you conquer your Daemons… or command them?",Intel Core i3-2120,AMD Radeon RX 460,6 GB,120 GB
Subnautica,Indie / Adventure,"Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive.",Intel Core i5-4200M,Intel HD 4600,4 GB,20 GB
Hitman 3,Action / Strategy / Violent,"Death Awaits. Agent 47 returns in HITMAN 3, the dramatic conclusion to the World of Assassination trilogy.",Intel Core i5-2500K,NVIDIA GeForce GTX 660,8 GB,80 GB
Elden Ring Nightreign,Action / RPG,"ELDEN RING NIGHTREIGN is a standalone adventure within the ELDEN RING universe, crafted to offer players a new gaming experience by reimagining the game’s core design.",Intel Core i5-10600  / Ryzen 5 5500,NVIDIA GeForce GTX 1060,12 GB,30 GB
Dead by Daylight,Action / FPS,"Trapped forever in a realm of eldritch evil where even death is not an escape, four determined Survivors face a bloodthirsty Killer in a vicious game of nerve and wits. Pick a side and step into a world of tension and terror with horror gaming's best asymmetrical multiplayer.",Intel Core i3-4170,NVIDIA GeForce GTX 460,8 GB,25 GB
Far Cry 6,Action / Adventure,"From the acclaimed Far Cry series, Far Cry 6 brings even more to the table. Discover and use ever more interesting weapons and tools while taking down the Castillos’, tyrannical dictators of the fictional land of Yara, the largest Far Cry map to date. Rally the people and take back control in Ubisofts’ Far Cry 6.",Intel Core i5-4460,NVIDIA GeForce GTX 960,8 GB,60 GB
Persona 5 Royal,Unknown,"Don the mask and join the Phantom Thieves of Hearts as they stage grand heists, infiltrate the minds of the corrupt, and make them change their ways!",Intel Core i7-4790,AMD Radeon R7 360  / GeForce GTX 650 Ti,8 GB,41 GB
Squad,Action / Strategy / Indie,"Squad is a tactical FPS that provides authentic combat experiences through teamwork, communication, and realistic combat. It bridges the gap between arcade shooter and military realism with 100-player battles, combined-arms warfare, and base building.",Intel Core i5-2500K,AMD Radeon HD 7870,8 GB,35 GB
Dying Light 2,Action / RPG / Adventure,"Humanity is fighting a losing battle against the virus. Experience a post-apocalyptic open world overrun by hordes of zombies, where your parkour and combat skills are key to survival. Traverse the City freely during the day, but watch the monsters take over during the night.",Intel Core i3-9100,AMD Radeon RX 560,8 GB,60 GB
FIFA 22,Sports / Simulation,"Powered by Football™, EA SPORTS™ FIFA 22 brings the game even closer to the real thing with fundamental gameplay advances and a new season of innovation across every mode.",AMD Athlon X4 880K,AMD Radeon HD 7850,8 GB,50 GB
Mortal Kombat X,Action / FPS / Fighting,"Experience the Next Generation of the #1 Fighting Franchise. Mortal Kombat X combines unparalleled, cinematic presentation with all new gameplay.",Intel Core i5-750,ATI Radeon HD 5850,3 GB,36 GB
Crusader Kings 3,Strategy / RPG / Simulation,"Love, fight, scheme, and claim greatness. Determine your noble house’s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the Middle Ages.",Intel Core i3-2120,AMD Radeon HD 7870,6 GB,8 GB
GTA: San Andreas,Action / FPS / Third-person shooter,"Five years ago Carl Johnson escaped from the pressures of life in Los Santos, San Andreas... a city tearing itself apart with gang trouble, drugs and corruption. Where filmstars and millionaires do their best to avoid the dealers and gangbangers. Now, it's the early 90s. Carl's got to go home.",Intel Core i5-6600K,NVIDIA GeForce GTX 760,8 GB,45 GB
Star Wars Jedi: Survivor,Action / Adventure,"The story of Cal Kestis continues in STAR WARS Jedi: Survivor™, a galaxy-spanning, third-person, action-adventure game.",Intel Core i7-7700  / Ryzen 5 1400,NVIDIA GeForce GTX 1070  / Radeon RX 580,8 GB,155 GB
Conan Exiles,Action / Strategy / RPG,"An online multiplayer survival game, now with sorcery, set in the lands of Conan the Barbarian. Survive in a vast open world sandbox, build your home into a kingdom, and dominate your enemies in single or multiplayer.",AMD FX-6300,NVIDIA GeForce GTX 770,6 GB,50 GB
DARK SOULS: REMASTERED,Action / RPG / Indie,"Then, there was fire. Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning high-definition detail running at 60fps.",Intel Core i5-2300,AMD Radeon HD 6870,6 GB,8 GB
Assassin's Creed Origins,Action / RPG / Adventure,"ASSASSIN’S CREED® ORIGINS IS A NEW BEGINNING *The Discovery Tour by Assassin’s Creed®: Ancient Egypt is available now as a free update!* Ancient Egypt, a land of majesty and intrigue, is disappearing in a ruthless fight for power.",AMD FX-6350,NVIDIA GeForce GTX 660,6 GB,42 GB
DRAGON BALL: Sparking! ZERO,Unknown,DRAGON BALL: Sparking! ZERO takes the legendary gameplay of the Budokai Tenkaichi series and raises it to whole new levels. Make yours the destructive power of the strongest fighters ever to appear in Dragon Ball!,Intel Core i5-9600K  / Ryzen 5 2600,NVIDIA GeForce GTX 980  / Radeon RX 590,8 GB,29 GB
Call of Duty Black Ops 2,Action / FPS,"Pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, Call of Duty®: Black Ops II propels players into a near future Cold War",Intel Core 2 Duo E8200,ATI Radeon HD 3870,2 GB,16 GB
FINAL FANTASY 14,RPG / MMO / JRPG,"Join over 30 million adventurers worldwide and take part in an epic and ever-changing FINAL FANTASY. Experience an unforgettable story, exhilarating battles, and a myriad of captivating environments to explore.",Intel Core i7-7700,AMD Radeon RX 480  / GeForce GTX 970,8 GB,140 GB
Age of Empires 4,Unknown,"Celebrating its first year of delighting millions of global players, the award-winning and best-selling strategy franchise continues with Age of Empires IV: Anniversary Edition, putting you at the center of even more epic historical battles that shaped the world.",Intel Core i5-6300U,AMD Radeon RX Vega,8 GB,50 GB
Resident Evil 2,Action / FPS,"A deadly virus engulfs the residents of Raccoon City in September of 1998, plunging the city into chaos as flesh eating zombies roam the streets for survivors. An unparalleled adrenaline rush, gripping storyline, and unimaginable horrors await you. Witness the return of Resident Evil 2.",Intel Core i5-4460  / FX-6300,NVIDIA GeForce GTX 960  / Radeon RX 460,8 GB,26 GB
Mafia III,Action / Adventure / Sexual Content,"After Lincoln Clay's surrogate family, the black mob, is betrayed and killed by the Italian Mafia, Lincoln builds a new family and blazes a path of revenge through the Mafioso responsible.",Intel Core i5-2500K,AMD Radeon HD 7870,6 GB,50 GB
Monster Hunter Rise,Action / RPG / Adventure,"Rise to the challenge and join the hunt! In Monster Hunter Rise, the latest installment in the award-winning and top-selling Monster Hunter series, you’ll become a hunter, explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an all-new storyline.",AMD FX-6100,AMD Radeon RX 550,8 GB,23 GB
Tom Clancy's Ghost Recon Breakpoint,Action / Adventure,"Become a Ghost, fighting against a rogue spec ops faction called the Wolves, in the latest Tom Clancy's Ghost Recon®!",Intel Core i5-4460,Unknown,8 GB,67 GB
World War Z: Aftermath,Unknown,"World War Z is a heart-pounding coop third-person shooter for up to 4 players featuring massive swarms of hundreds of zombies, focused on fast-paced, gruesomely spectacular action.",Intel Core i3-3220,NVIDIA GeForce GTX 650 Ti,8 GB,50 GB
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,Action / RPG / Casual,"""Atelier Yumia"" is a story about “memory”. Explore the field to gather materials and synthesis items. The items you create can be key to advancing the story and can also be used in battles and exploration. Additionally, you can create your own base with “Building"" in the field.",Intel Core i3-8100,NVIDIA GeForce GTX 1650,8 GB,40 GB
Raft,Indie / Adventure / Simulation,"Raft™ throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!",Intel Core 2 Duo Q6867,NVIDIA GeForce GTX 560,4 GB,6 GB
Battlefield 4,Action / FPS,"Embrace unrivaled destruction in Battlefield 4™. Revel in the glorious chaos of all-out war packed with rewarding, tactical challenges in an interactive environment.",Intel Core 2 Duo Q6867,ATI Radeon HD 3870,4 GB,30 GB
DOOM Eternal,Action / FPS,Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,Intel Core i5-661,AMD Radeon R9 280,8 GB,50 GB
Tom Clancy's Ghost Recon Wildlands,Action / Adventure / FPS,"Create a team with up to 3 friends in Tom Clancy’s Ghost Recon® Wildlands and enjoy the ultimate military shooter experience set in a massive, dangerous, and responsive open world.",AMD FX-4320,NVIDIA GeForce GTX 660,6 GB,50 GB
GTA: Vice City,Action / FPS / Third-person shooter,"Welcome to Vice City. Welcome to the 1980s. From the decade of big hair, excess and pastel suits comes a story of one man's rise to the top of the criminal pile.",Intel Core i5-6600K,Unknown,8 GB,45 GB
Hell Let Loose,Action / Strategy / Indie,"Join the ever expanding experience of Hell Let Loose - a hardcore World War Two first person shooter with epic battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based RTS-inspired meta-game.",Intel Core i5-6600,NVIDIA GeForce GTX 960,12 GB,30 GB
Need for Speed Unbound,Action / Racing,"Race to the top, definitely don’t flop. Outsmart the cops, and enter weekly qualifiers for The Grand: the ultimate street race. Pack your garage with precision-tuned, custom rides, and light up the streets with your style.",Intel Core i5-8600,NVIDIA GeForce GTX 1050 Ti,8 GB,50 GB
Just Cause 3,Action / Adventure / FPS,"With over 1000 km² of complete freedom from sky to seabed, Rico Rodriguez returns to unleash chaos in the most creative and explosive ways imaginable.",Intel Core i5-2500K,AMD Radeon HD 7870,8 GB,54 GB
Anno 1800,Strategy / Simulation,Anno 1800 – Lead the Industrial Revolution! Welcome to the dawn of the Industrial Age. The path you choose will define your world. Are you an innovator or an exploiter? A conqueror or a liberator? How the world remembers your name is up to you.,Intel Core i5-4460,AMD Radeon R9 270X,8 GB,40 GB
Yandere Simulator,Action / Indie / Simulation,Take on the role of a Japanese anime girl who wants to be noticed by her beloved Sempai. But remember that there are other girls who keep their eyes on Sempai and in love with him. All you have to do is eliminate them.,Intel Core i5-750,NVIDIA GeForce GT 1030,4 GB,2 GB
Horizon Forbidden West Complete Edition,Action / RPG,"Experience the epic Horizon Forbidden West™ in its entirety with bonus content and the Burning Shores expansion included. The Burning Shores add-on contains additional content for Aloy’s adventure, including new storylines, characters, and experiences in a stunning yet hazardous new area.",Intel Core i3-8100  / Ryzen 3 1300X,NVIDIA GeForce GTX 1650  / Radeon RX 5500 XT,16 GB,150 GB
Hitman: Absolution,Action / FPS / Third-person shooter,"The original assassin is back! Betrayed by the Agency and hunted by the police, Agent 47 finds himself pursuing redemption in a corrupt and twisted world.",Intel Core 2 Duo U7600,AMD Radeon HD 3450,2 GB,24 GB
Death Stranding 2 On the Beach,Unknown,"From legendary game creator Hideo Kojima comes the next genre-defying experience, following the events immediately after Death Stranding. As Sam Bridges, your mission is to deliver hope and security with the help of the Drawbridge organization. Can you reunite the shattered world, even as familiar faces return to haunt you?",Intel Core i7-3770S,NVIDIA GeForce GTX 1060,12 GB,100 GB
NieR:Automata,Action / RPG / JRPG,"NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.",Intel Core i3-2100,AMD Radeon R9 270X,4 GB,50 GB
Watch Dogs,Action / Adventure / FPS,"In today's hyper-connected world, Chicago operates under ctOS, the most advanced computer network in America.",Intel Core 2 Quad Q8400,ATI Radeon HD 5770,6 GB,25 GB
STEEL HUNTERS,Action / Free to Play / Early Access,"STEEL HUNTERS is a Free-to-Play, PvPvE shooter with futuristic mech battles. Level up your Hunter and upgrade your arsenal to turn rivals into scrap. Choose your playstyle and combat tactics against 5 other duo teams. Only one can extract from the Hunting Grounds.",Intel Core i5-8400,Unknown,16 GB,32 GB
Days Gone,Action / Adventure / FPS,"Ride and fight into a deadly, post pandemic America. Play as Deacon St. John, a drifter and bounty hunter who rides the broken road, fighting to survive while searching for a reason to live in this open-world action-adventure game.",Intel Core i5-2500K,NVIDIA GeForce GTX 780,8 GB,70 GB
Gray Zone Warfare,Action / Adventure / MMO,"In Gray Zone Warfare, realism meets tactics in an open-world MMOFPS where every move matters. Deploy with a Private Military Company, survive intense PvEvP or PvE encounters against players and AI, unravel the secrets of Lamang Island, and thrive through hard-earned progression.",Intel Core i5-8600  / Ryzen 5 2600,NVIDIA GeForce GTX 1080  / Radeon RX 5700,16 GB,40 GB
Sleeping Dogs,Action / Adventure / FPS,"As Wei Shen, an undercover cop trying to take down the Triads, you'll have to fight your way up the organization without blowing your cover.",Intel Core 2 Duo Q6867,NVIDIA GeForce 8800 GT,2 GB,15 GB
Honkai: Star Rail,RPG / Adventure / Free to Play,Honkai: Star Rail is a new HoYoverse space fantasy RPG. Hop aboard the Astral Express and experience the galaxy's infinite wonders on this journey filled with adventure and thrills.,Intel Core i3-2120,NVIDIA GeForce GTX 650,6 GB,20 GB
Persona 3 Reload,Strategy / RPG / Adventure,"Dive into the Dark Hour and awaken the depths of your heart. Persona 3 Reload is a captivating reimagining of the genre-defining RPG, reborn for the modern era with cutting-edge graphics and gameplay.",Intel Core i5-2300  / FX-4350,NVIDIA GeForce GTX 650 Ti  / Radeon HD 7850,8 GB,30 GB
BlueStacks,Unknown,Bluestacks is an android emulator that allows you to run Android games and applications on your Windows PC. Looking for how to play mobile games on PC? This is the application you need.,Intel Core 2 Duo E8400,Intel HD Family,4 GB,5 GB
Football Manager 2024,Strategy / Sports / Simulation,Build a world-class team ready to dominate your rivals in football’s most prestigious competitions. Progress never stops when you’re pursuing footballing greatness.,AMD Athlon 64 FX-34,AMD GeForce 9600M GT,4 GB,7 GB
Halo Infinite,Action / Free to Play / Violent,"From one of gaming's most iconic sagas, Halo is bigger than ever. Featuring an expansive open-world campaign and a dynamic free to play multiplayer experience.",Intel Core i5-4460,AMD Radeon RX 570,8 GB,50 GB
Marvel’s Spider-Man: Miles Morales,Action / Adventure,"After the events of Marvel’s Spider-Man Remastered, teenage Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. When a fierce power struggle threatens to destroy his home, Miles must take up the mantle of Spider-Man and own it",Intel Core i3-4160,AMD Radeon RX 470,8 GB,75 GB
Mecha BREAK,Action / MMO / Free to Play,"Squad up in Mecha BREAK, a multiplayer third-person shooter offering players three unique game modes filled with high-octane ground and aerial combat. Choose from diverse classes, customize your appearance, and battle hostile mechs across treacherous terrain. Are you ready for the ultimate showdown?",Intel Core i5-6500,AMD Radeon RX 570,8 GB,Unknown
Clair Obscur: Expedition 33,Action / RPG,Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again. Explore a world of wonders inspired by Belle Époque France and battle unique enemies in this turn-based RPG with real-time mechanics.,Intel Core i7-8700K  / Ryzen 5 1600X,NVIDIA GeForce GTX 1060  / Radeon RX 5600 XT,8 GB,55 GB
ENA: Dream BBQ,Indie / Adventure,Experience surreal environments and inexplicable characters as ENA in a new wild world.,Intel Core 2 Duo Q6867,NVIDIA GeForce 7100 / nForce 630i,6 GB,10 GB
Call of Duty: Modern Warfare III,Unknown,"In the direct sequel to the record-breaking Call of Duty®: Modern Warfare® II, Captain Price and Task Force 141 face off against the ultimate threat.",Intel Core i5-6600  / Ryzen 5 1400,NVIDIA GeForce GTX 960  / Radeon RX 470,8 GB,79 GB
Call of Duty Modern Warfare 2,Action / FPS,"The Call of Duty® experience supports Call of Duty®: Black Ops 6, Call of Duty®: Modern Warfare® III, Call of Duty®: Modern Warfare® II and Call of Duty®: Warzone™.",Intel Core i5-2500K  / Ryzen 3 1200,NVIDIA GeForce GTX 960  / Radeon RX 470,8 GB,125 GB
Resident Evil 7,Action / Adventure / Violent,"Fear and isolation seep through the walls of an abandoned southern farmhouse. ""7"" marks a new beginning for survival horror with the “Isolated View” of the visceral new first-person perspective.",Intel Core i5-4460  / FX-6300,NVIDIA GeForce GTX 960  / Radeon RX 460,8 GB,24 GB
Need for Speed (2015),Action / Racing / Adventure,"Ready to own the streets? Get behind the wheel of iconic cars and floor it through Ventura Bay, a sprawling urban playground. Explore overlapping stories as you build your reputation – and your dream car – and become the ultimate racing icon.",Intel Core i3-4130,AMD Radeon HD 7850,6 GB,30 GB
Stellar Blade,Action / RPG / Adventure,Save humanity from extinction in post-apocalyptic action-adventure Stellar Blade™. Experience blistering combat and a twisting storyline as you unravel the mysteries of Earth’s downfall.,Intel Core i5-7600K  / Ryzen 5 1600X,NVIDIA GeForce GTX 1060 6GB  / Radeon RX 580,16 GB,75 GB
Subnautica 2,Action / Adventure / Early Access,"Immerse yourself in a new adventure with Subnautica 2, an open-water survival game from the creators of the Subnautica series. Play alone or with friends as you explore alluring biomes and discover fascinating creatures. Craft vehicles, tools, and bases to survive this mysterious alien world.",Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1660  / Radeon RX 5500 XT,8 GB,50 GB
Off The Grid,Action / MMO / Free to Play,"Get ready to dive into the ultimate Extraction Royale where PvP and PvE collide in an all-out battle for survival! Teardrop Island—once full of promise, now a dystopian warzone—needs a hero. Too bad it's getting you.",Intel Core i5-9400,NVIDIA GeForce RTX 3060,16 GB,Unknown
F1 Manager 2024,Strategy / Simulation,"Lead your team to glory in F1® Manager 2024. A new Formula 1® season has arrived, and with it, the most comprehensive F1® management experience to date. Build a legacy with one of 10 official F1® constructors or create your own team for the very first time.",Intel Core i5-12400T,NVIDIA GeForce GTX 1070,4 GB,Unknown
Chained Together,Casual / Indie / Adventure,"From the depths of hell, climb chained to your friends through diverse worlds. Solo or co-op, try to reach the summit and discover what awaits you there...",Intel Core i5-6600  / Ryzen 5 1600X,NVIDIA GeForce GTX 1650,8 GB,6 GB
Resident Evil Village,Action / FPS,"Experience survival horror like never before in the 8th major installment in the Resident Evil franchise - Resident Evil Village. With detailed graphics, intense first-person action and masterful storytelling, the terror has never felt more realistic.",Intel Core i5-7500,NVIDIA GeForce GTX 1050 Ti,8 GB,50 GB
Enlisted,Action / MMO,"Enlisted is an MMO squad based shooter for PC, Xbox Series X|S and PlayStation 5 in World War II where you act as an infantry squad leader, tank crew or an aircraft pilot. The weaponry, soldier’s uniform, appearance and capabilities of the vehicles in the game are in line with historical facts.",Intel Core i3-2120,NVIDIA GeForce GTX 660,8 GB,12 GB
Borderlands 4,Action / RPG / Adventure,"Borderlands 4 is a mayhem-fueled looter shooter, jam-packed with billions of weapons, deadly enemies, and intense co-op action. Break free from a dangerous hidden planet as one of four new badass Vault Hunters.",Intel Core i7-4770K,NVIDIA GeForce GTX 1660,8 GB,100 GB
Hearts of Iron IV,Strategy / Simulation,"Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.",Intel Core 2 Quad Q9400,ATI Radeon HD 5850,4 GB,2 GB
Throne and Liberty,Action / RPG / Adventure,"Welcome to THRONE AND LIBERTY, a free-to-play, multi-platform MMORPG. With an always changing environment, Massive Scale PvPvE, and the ability to transform into creatures to battle across land, sea, and air.",Intel Core i7-7700,NVIDIA GeForce GTX 960,8 GB,63 GB
Metro Exodus,Action / FPS,"Flee the shattered ruins of the Moscow Metro and embark on an epic, continent-spanning journey across the post-apocalyptic Russian wilderness. Explore vast, non-linear levels, lose yourself in an immersive, sandbox survival experience, and follow a thrilling story-line that spans an entire year in the greatest Metro adventure yet.",Intel Core i5-4440,AMD Radeon HD 7870,8 GB,59 GB
Call of Duty WW2,Action / FPS,Call of Duty® returns to its roots with Call of Duty®: WWII - a breathtaking experience that redefines World War II for a new gaming generation.,Intel Core i3-3225,AMD Radeon HD 7850,8 GB,90 GB
The Genesis Order,Casual / Indie / Adventure,"Murder and mystery lead a young detective to investigate a cult and to cross paths with a criminal organization. With the help of an angel and a harem of beauties, take on the challenge of saving the world from a mysterious threat.",Intel Core 2 Duo Q6867,NVIDIA GeForce 510,2 GB,9 GB
Alan Wake 2,Unknown,"Developed by Remedy Entertainment and published by Epic Games Publishing, Alan Wake 2 is the latest in the horror game series. Saga Anderson arrives to investigate ritualistic murders in a small town. Alan Wake pens a dark story to shape the reality around him. These two heroes are somehow connected. Can they become the heroes they need to be?",Intel Core i5-7600K,NVIDIA GeForce GTX 1070  / Radeon RX 5600 XT,16 GB,90 GB
Dolphin Emulator,Free to Play / Early Access,"Dolphin is an emulator for the big N's 6th and 7th generation consoles, featuring enhancements such as increased resolution, save states, and netplay.",Intel Core i5-3550,Intel HD 4000,2 GB,4 GB
